sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,10.713626861572266,10.713626861572266,10.713626861572266,5.7742509841918945,2.2202584743499756,1, port,True,EleutherAI/pythia-14m
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,11.19798469543457,11.19798469543457,11.19798469543457,8.5526123046875,2.0224499702453613,1, port,True,EleutherAI/pythia-14m
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,13.806188583374023,13.806188583374023,13.806188583374023,3.5972471237182617,6.411103248596191,1, scales,True,EleutherAI/pythia-14m
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,14.226075172424316,14.226075172424316,14.226075172424316,3.827382802963257,6.426647186279297,1, scales,True,EleutherAI/pythia-14m
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,5.744640350341797,5.744640350341797,5.744640350341797,7.098181247711182,8.439596176147461,1, table,True,EleutherAI/pythia-14m
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,6.9747419357299805,6.9747419357299805,6.9747419357299805,8.925293922424316,8.492785453796387,1, table,True,EleutherAI/pythia-14m
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,7.654191017150879,7.654191017150879,7.654191017150879,4.12467098236084,2.234395980834961,1, diamond,True,EleutherAI/pythia-14m
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,8.869443893432617,8.869443893432617,8.869443893432617,4.104301452636719,2.1828744411468506,1, diamond,True,EleutherAI/pythia-14m
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,7.542344570159912,7.542344570159912,7.542344570159912,6.307292938232422,2.100815773010254,1, bill,True,EleutherAI/pythia-14m
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,9.01253890991211,9.01253890991211,9.01253890991211,6.668347358703613,1.956929087638855,1, bill,True,EleutherAI/pythia-14m
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,7.054499626159668,7.054499626159668,7.054499626159668,8.691764831542969,9.123283386230469,1, racket,True,EleutherAI/pythia-14m
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,9.422526359558105,9.422526359558105,9.422526359558105,8.725924491882324,9.06692886352539,1, racket,True,EleutherAI/pythia-14m
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,10.316262245178223,10.316262245178223,10.316262245178223,1.3901346921920776,3.564011812210083,1, pen,True,EleutherAI/pythia-14m
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,11.729146957397461,11.729146957397461,11.729146957397461,3.564807415008545,3.547459363937378,1, pen,True,EleutherAI/pythia-14m
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,6.656733512878418,6.656733512878418,6.656733512878418,5.795584201812744,2.040297746658325,1, ball,True,EleutherAI/pythia-14m
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,6.730014801025391,6.730014801025391,6.730014801025391,6.636435031890869,1.8436014652252197,1, ball,True,EleutherAI/pythia-14m
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,2.732666015625,2.732666015625,2.732666015625,2.7196459770202637,5.651577949523926,1, bank,True,EleutherAI/pythia-14m
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,5.058897018432617,5.058897018432617,5.058897018432617,2.926435947418213,5.652346611022949,1, bank,True,EleutherAI/pythia-14m
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,3.7043769359588623,3.7043769359588623,3.7043769359588623,1.4600839614868164,2.0462961196899414,1, wire,True,EleutherAI/pythia-14m
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,8.300786972045898,8.300786972045898,8.300786972045898,1.748485803604126,2.109272003173828,1, wire,True,EleutherAI/pythia-14m
"The hunting lodge was full of antlers and horns, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,yes,no,6.7621636390686035,6.7621636390686035,6.7621636390686035,8.266358375549316,1.981222152709961,1, horn,True,EleutherAI/pythia-14m
"The hunting lodge was full of trophies, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,no,no,7.796387672424316,7.796387672424316,7.796387672424316,7.9821391105651855,1.932965874671936,1, horn,True,EleutherAI/pythia-14m
"Jamie wanted to go on a tour of the treasury and the mint, but on Mondays the mint was closed to the public.",mint,subordinate,yes,no,10.407920837402344,10.407920837402344,10.407920837402344,3.1979427337646484,6.7902302742004395,1, mint,True,EleutherAI/pythia-14m
"Jamie wanted to go on a tour of where money is made, but on Mondays the mint was closed to the public.",mint,subordinate,no,no,10.586653709411621,10.586653709411621,10.586653709411621,4.1140642166137695,7.088965892791748,1, mint,True,EleutherAI/pythia-14m
Pam had to decide whether to fly first-class or coach; she decided to fly coach because the ticket was cheaper.,coach,subordinate,yes,no,7.962984085083008,7.962984085083008,7.962984085083008,6.534573554992676,2.656717300415039,1, coach,True,EleutherAI/pythia-14m
Pam had to decide whether or not to fly in first-class; she decided to fly coach because the ticket was cheaper.,coach,subordinate,no,no,11.209802627563477,11.209802627563477,11.209802627563477,7.58690071105957,2.750974416732788,1, coach,True,EleutherAI/pythia-14m
"To tend a hot fire, it's best to use a stick or a poker, but when it's really hot a metal poker can burn you.",poker,subordinate,yes,no,5.552458763122559,5.552458763122559,5.552458763122559,7.39400577545166,8.188048362731934,1, poker,True,EleutherAI/pythia-14m
"To tend a hot fire, it's best to use a stick or tool, but when it's really hot a metal poker can burn you.",poker,subordinate,no,no,11.369258880615234,11.369258880615234,11.369258880615234,6.697894096374512,7.7117815017700195,1, poker,True,EleutherAI/pythia-14m
"Even though the pet store had cute huskies and boxers, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,yes,no,2.7811923027038574,7.718692302703857,3.8593461513519287,11.759649276733398,3.4316883087158203,2, boxer,True,EleutherAI/pythia-14m
"Even though the pet store had many cute puppies, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,no,no,5.593287467956543,11.470203399658203,5.735101699829102,11.977387428283691,3.4242429733276367,2, boxer,True,EleutherAI/pythia-14m
"The president began the meeting with his cabinet and advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,yes,no,6.388821601867676,6.388821601867676,6.388821601867676,2.617992401123047,5.74454402923584,1, cabinet,True,EleutherAI/pythia-14m
"The president began the meeting with all his advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,no,no,8.423951148986816,8.423951148986816,8.423951148986816,2.7504870891571045,5.8968963623046875,1, cabinet,True,EleutherAI/pythia-14m
"Martin saw the perfect engagement ring and wedding band set, but was disappointed when the band was sold out.",band,subordinate,yes,no,2.594686508178711,2.594686508178711,2.594686508178711,2.314727544784546,6.679193496704102,1, band,True,EleutherAI/pythia-14m
"Martin saw the perfect engagement ring set, but was disappointed when the band was sold out.",band,subordinate,no,no,4.714763164520264,4.714763164520264,4.714763164520264,1.9319424629211426,7.600739479064941,1, band,True,EleutherAI/pythia-14m
"On the flute certain notes are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,yes,yes,4.315822601318359,4.315822601318359,4.315822601318359,5.229458808898926,1.0993880033493042,1, notes,True,EleutherAI/pythia-14m
"On the flute certain sounds are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,no,yes,7.738451957702637,7.738451957702637,7.738451957702637,4.716979503631592,1.196089744567871,1, notes,True,EleutherAI/pythia-14m
"The sound problem could only be due to either the speaker or the cable, it turned out that the speaker was broken.",speaker,subordinate,yes,no,1.4447575807571411,1.4447575807571411,1.4447575807571411,2.0997085571289062,7.445882320404053,1, speaker,True,EleutherAI/pythia-14m
"The sound problem could only be due to a few things, it turned out that the speaker was broken.",speaker,subordinate,no,no,6.997369766235352,6.997369766235352,6.997369766235352,2.101191282272339,7.827652931213379,1, speaker,True,EleutherAI/pythia-14m
"Erin knew to check the map's legend to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,yes,no,7.363925933837891,7.363925933837891,7.363925933837891,3.554905414581299,6.095069885253906,1, legend,True,EleutherAI/pythia-14m
"Erin knew to check the map to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,no,no,8.735551834106445,8.735551834106445,8.735551834106445,3.34570574760437,6.034676551818848,1, legend,True,EleutherAI/pythia-14m
"Kayla was hoping to get a condo on the fourth story, but the best they had was the third story so she didn't buy it.",story,subordinate,yes,no,0.9684177041053772,0.9684177041053772,0.9684177041053772,6.537698745727539,4.193597316741943,1, story,True,EleutherAI/pythia-14m
"Kayla was hoping to get a condo on the fourth floor, but the best they had was the third story so she didn't buy it.",story,subordinate,no,no,10.308550834655762,10.308550834655762,10.308550834655762,6.500384330749512,3.887073516845703,1, story,True,EleutherAI/pythia-14m
"No one wants to live near an electrical station or a plant, so the homes next to the plant were vacant.",plant,subordinate,yes,no,4.831061363220215,4.831061363220215,4.831061363220215,3.2951176166534424,8.065106391906738,1, plant,True,EleutherAI/pythia-14m
"No one wants to live near manufacturing facilities, so the homes next to the plant were vacant.",plant,subordinate,no,no,6.162883758544922,6.162883758544922,6.162883758544922,3.7207632064819336,7.475707054138184,1, plant,True,EleutherAI/pythia-14m
"After hiking Mike had some cuts on his feet and a corn on one toe, after the walk home he had a corn on each foot.",corn,subordinate,yes,no,7.944569110870361,7.944569110870361,7.944569110870361,3.215923547744751,5.171080112457275,1, corn,True,EleutherAI/pythia-14m
"After hiking Mike had some cuts on his feet, after the walk home he had a corn on each foot.",corn,subordinate,no,no,10.123873710632324,10.123873710632324,10.123873710632324,5.669651985168457,7.113072395324707,1, corn,True,EleutherAI/pythia-14m
"Paul had only seen nuns in black habits, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,yes,yes,8.782166481018066,8.782166481018066,8.782166481018066,2.7353827953338623,2.379167318344116,1, habits,True,EleutherAI/pythia-14m
"Paul had only seen nuns in black clothes, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,no,yes,10.68218994140625,10.68218994140625,10.68218994140625,2.096512794494629,2.3584401607513428,1, habits,True,EleutherAI/pythia-14m
"The dentist suggested a root canal and crown, but Todd could only get a crown because he didn't have much money.",crown,subordinate,yes,no,8.117234230041504,8.117234230041504,8.117234230041504,5.6214399337768555,1.802284836769104,1, crown,True,EleutherAI/pythia-14m
"The dentist suggested a few different treatments, but Todd could only get a crown because he didn't have much money.",crown,subordinate,no,no,10.671507835388184,10.671507835388184,10.671507835388184,6.640963554382324,1.7315714359283447,1, crown,True,EleutherAI/pythia-14m
"His lawyer assured him that he could beat the first law suit, but the second law suit would be a challenge.",suit,subordinate,yes,no,1.3261150121688843,1.3261150121688843,1.3261150121688843,3.2826080322265625,1.5879982709884644,1, suit,True,EleutherAI/pythia-14m
"His lawyer assured him that he could beat the first case, but the second law suit would be a challenge.",suit,subordinate,no,no,7.706442356109619,7.706442356109619,7.706442356109619,3.307738780975342,1.5308679342269897,1, suit,True,EleutherAI/pythia-14m
"The walls looked ok after the first coat finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,yes,no,2.1251089572906494,2.1251089572906494,2.1251089572906494,1.4780808687210083,10.648919105529785,1, coat,True,EleutherAI/pythia-14m
"The walls looked ok after the paint finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,no,no,6.720659255981445,6.720659255981445,6.720659255981445,1.8335703611373901,10.513232231140137,1, coat,True,EleutherAI/pythia-14m
"Evan went to the movie premier in hopes of meeting his two favorite stars, but one of the stars didn't show up.",stars,subordinate,yes,yes,4.930861949920654,4.930861949920654,4.930861949920654,6.016262531280518,0.5741438269615173,1, stars,True,EleutherAI/pythia-14m
"Evan went to the movie premier in hopes of meeting his two favorite actors, but one of the stars didn't show up.",stars,subordinate,no,yes,5.460144519805908,5.460144519805908,5.460144519805908,6.200293064117432,0.4926782548427582,1, stars,True,EleutherAI/pythia-14m
"As best man, Kurt's jobs were to hold the rings and give a toast, which was fine except the toast made him nervous.",toast,subordinate,yes,no,7.862573146820068,7.862573146820068,7.862573146820068,5.765972137451172,5.713393688201904,1, toast,True,EleutherAI/pythia-14m
"As best man, Kurt's jobs were to say a few words at the reception, which was fine except the toast made him nervous.",toast,subordinate,no,no,11.14471435546875,11.14471435546875,11.14471435546875,5.943484306335449,4.83542013168335,1, toast,True,EleutherAI/pythia-14m
In early spring Lara plants tulip bulbs and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,yes,yes,7.551782131195068,7.551782131195068,7.551782131195068,6.493927955627441,0.43640458583831787,1, bulbs,True,EleutherAI/pythia-14m
In early spring Lara plants tulips and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,no,yes,8.432280540466309,8.432280540466309,8.432280540466309,6.335679531097412,0.5121567845344543,1, bulbs,True,EleutherAI/pythia-14m
"When the shepherd lost his supplies and staff, he had to use a stick as his staff that day on the trail.",staff,subordinate,yes,no,6.787755966186523,6.787755966186523,6.787755966186523,5.314427375793457,5.6416015625,1, staff,True,EleutherAI/pythia-14m
"When the shepherd lost his supplies, he had to use a stick as his staff that day on the trail.",staff,subordinate,no,no,8.353492736816406,8.353492736816406,8.353492736816406,5.4266276359558105,5.694606781005859,1, staff,True,EleutherAI/pythia-14m
"Although the election for department chair was usually very close, this year the chair was elected unanimously.",chair,subordinate,yes,no,7.9603400230407715,7.9603400230407715,7.9603400230407715,1.9430429935455322,7.519759178161621,1, chair,True,EleutherAI/pythia-14m
"Although the election for department head was usually very close, this year the chair was elected unanimously",chair,subordinate,no,no,9.144585609436035,9.144585609436035,9.144585609436035,2.2260706424713135,6.995441913604736,1, chair,True,EleutherAI/pythia-14m
